Index,Height(Inches),,Weight(Pounds),,,,
83,70.05147,177.9307338,155.3767,,,,
84,66.27848,168.3473392,128.9418,,,,
85,69.20198,175.7730292,129.1013,,,,
86,69.13481,175.6024174,139.4733,,,,
87,67.36436,171.1054744,140.8901,,,,
88,70.09297,178.0361438,131.5916,,,,
89,70.1766,178.248564,121.1232,,,,
90,68.22556,173.2929224,131.5127,,,,
91,68.12932,173.0484728,136.5479,,,,
92,70.24256,178.4161024,141.4896,,,,
93,71.48752,181.5783008,140.6104,,,,
94,69.20477,175.7801158,112.1413,,,,
95,70.06306,177.9601724,133.457,,,,
96,70.55703,179.2148562,131.8001,,,,
97,66.28644,168.3675576,120.0285,,,,
98,63.42577,161.1014558,123.0972,,,,
99,66.76711,169.5884594,128.1432,,,,
100,68.88741,174.9740214,115.4759,,,,
101,64.87434,164.7808236,102.0927,,,,
102,67.09272,170.4155088,130.353,,,,
103,68.34761,173.6029294,134.1842,,,,
104,65.61073,166.6512542,98.64133,,,,
105,67.75551,172.0989954,114.5599,,,,
106,68.0212,172.773848,123.4917,,,,
107,67.66193,171.8613022,123.048,,,,
108,66.3146,168.439084,126.4772,,,,
109,69.43706,176.3701324,128.417,,,,
110,63.83624,162.1440496,127.1941,,,,
111,67.72277,172.0158358,122.0562,,,,
112,70.05098,177.9294892,127.6064,,,,
113,70.18602,178.2724908,131.6423,,,,
114,65.94588,167.5025352,111.8955,,,,
115,70.007,177.81778,122.039,,,,
116,68.61129,174.2726766,128.5547,,,,
117,68.80817,174.7727518,132.6792,,,,
118,69.76212,177.1957848,136.0632,,,,
119,65.45539,166.2566906,115.9403,,,,
120,68.82534,174.8163636,136.9041,,,,
121,65.8003,167.132762,119.8804,,,,
122,67.21474,170.7254396,109.0055,,,,
123,69.42021,176.3273334,128.2705,,,,
124,68.94396,175.1176584,135.2913,,,,
125,67.9415,172.57141,106.8558,,,,
126,65.62506,166.6876524,123.2939,,,,
127,66.49607,168.9000178,109.5143,,,,
128,67.92809,172.5373486,119.3087,,,,
129,68.89415,174.991141,140.2402,,,,
130,70.241,178.41214,133.9841,,,,
131,68.26623,173.3962242,132.5807,,,,
132,71.23161,180.9282894,130.6988,,,,
133,69.09747,175.5075738,115.5637,,,,
134,64.39693,163.5682022,123.7941,,,,
135,71.09585,180.583459,128.1427,,,,
136,68.21868,173.2754472,135.9646,,,,
137,65.91721,167.4297134,116.6273,,,,
138,67.4369,171.289726,126.8241,,,,
139,73.90107,187.7087178,151.3913,,,,
140,69.98149,177.7529846,130.4022,,,,
141,69.51862,176.5772948,136.2068,,,,
142,65.18437,165.5682998,113.3989,,,,
143,68.00869,172.7420726,125.3287,,,,
144,68.3384,173.579536,127.5846,,,,
145,65.18417,165.5677918,107.1564,,,,
146,68.26209,173.3857086,116.4588,,,,
147,68.56865,174.164371,133.8402,,,,
148,64.49675,163.821745,112.8901,,,,
149,68.71053,174.5247462,130.7568,,,,
150,68.89148,174.9843592,137.7571,,,,
151,69.54011,176.6318794,125.4036,,,,
152,67.39964,171.1950856,138.4659,,,,
153,66.47521,168.8470334,120.8184,,,,
154,66.01217,167.6709118,140.1539,,,,
155,72.44434,184.0086236,136.7397,,,,
156,64.12642,162.8811068,106.1139,,,,
157,70.98112,180.2920448,158.9562,,,,
158,67.50124,171.4531496,108.7868,,,,
159,72.01515,182.918481,138.7758,,,,
160,65.31143,165.8910322,115.9136,,,,
161,67.07509,170.3707286,146.2922,,,,
162,64.39148,163.5543592,109.8765,,,,
163,69.37003,176.1998762,139.0499,,,,
164,68.37921,173.6831934,119.9001,,,,
165,65.31018,165.8878572,128.3069,,,,
166,67.1369,170.527726,127.2428,,,,
167,68.39468,173.7224872,115.2306,,,,
168,66.2918,168.381172,124.7975,,,,
169,67.1866,170.653964,126.9511,,,,
170,65.99156,167.6185624,111.2711,,,,
171,69.43393,176.3621822,122.6089,,,,
172,67.97463,172.6555602,124.2084,,,,
173,67.76133,172.1137782,124.6453,,,,
174,65.27864,165.8077456,119.5169,,,,
175,73.83364,187.5374456,139.2983,,,,
176,66.81312,169.7053248,104.8265,,,,
177,66.89411,169.9110394,123.0424,,,,
178,65.73568,166.9686272,118.8923,,,,
179,65.98283,167.5963882,121.4939,,,,
180,66.58396,169.1232584,119.2488,,,,
181,67.11294,170.4668676,135.0239,,,,
182,65.87481,167.3220174,116.228,,,,
183,66.78067,169.6229018,109.1731,,,,
184,68.73577,174.5888558,124.2237,,,,
185,66.22666,168.2157164,141.1645,,,,
186,65.95968,167.5375872,129.1501,,,,
187,68.58372,174.2026488,127.8693,,,,
188,66.59347,169.1474138,120.9244,,,,
189,66.96574,170.0929796,127.6466,,,,
190,68.08015,172.923581,101.4693,,,,
191,70.19025,178.283235,144.9927,,,,
192,65.52149,166.4245846,110.9523,,,,
193,67.45905,171.345987,132.8625,,,,
194,67.40985,171.221019,146.3385,,,,
195,69.66158,176.9404132,145.5894,,,,
196,65.79799,167.1268946,120.8431,,,,
197,66.10558,167.9081732,115.7813,,,,
198,68.23987,173.3292698,128.3019,,,,
199,68.02403,172.7810362,127.4718,,,,
200,71.39044,181.3317176,127.8761,,,,
201,65.7316,166.958264,121.4997,,,,
202,66.43358,168.7412932,112.7148,,,,
203,70.01309,177.8332486,135.002,,,,
204,69.48146,176.4829084,128.6789,,,,
205,68.62764,174.3142056,124.4062,,,,
206,68.36275,173.641385,140.026,,,,
207,68.39028,173.7113112,117.519,,,,
208,68.77413,174.6862902,143.8737,,,,
209,69.9236,177.605944,141.1703,,,,
210,71.55542,181.7507668,155.9414,,,,
211,68.44764,173.8570056,134.0093,,,,
212,66.71398,169.4535092,130.0975,,,,
213,66.68413,169.3776902,106.2265,,,,
214,67.93699,172.5599546,112.0489,,,,
215,68.89855,175.002317,136.1884,,,,
216,67.29191,170.9214514,131.236,,,,
217,69.57212,176.7131848,131.3231,,,,
218,67.67479,171.8939666,119.5261,,,,
219,69.04155,175.365537,116.9965,,,,
220,67.96765,172.637831,138.5255,,,,
221,65.83982,167.2331428,109.6518,,,,
222,65.77288,167.0631152,130.1569,,,,
223,71.14106,180.6982924,137.1114,,,,
224,67.83055,172.289597,113.759,,,,
225,65.0693,165.276022,114.9725,,,,
226,69.70745,177.056923,127.7149,,,,
227,69.92983,177.6217682,121.9972,,,,
228,66.11569,167.9338526,117.9607,,,,
229,68.61364,174.2786456,127.7141,,,,
230,68.9976,175.253904,117.9619,,,,
231,66.79171,169.6509434,125.1554,,,,
232,68.02363,172.7800202,141.1026,,,,
233,69.67258,176.9683532,145.4822,,,,
234,71.82178,182.4273212,116.065,,,,
235,72.74676,184.7767704,135.7458,,,,
236,67.27951,170.8899554,132.9248,,,,
237,67.41015,171.221781,115.6622,,,,
238,68.5315,174.07001,114.3184,,,,
239,68.47126,173.9170004,148.952,,,,
240,68.51867,174.0374218,142.1878,,,,
241,63.72529,161.8622366,134.104,,,,
242,67.70483,171.9702682,141.8926,,,,
243,69.47115,176.456721,138.7444,,,,
244,66.70198,169.4230292,134.449,,,,
245,65.23126,165.6874004,117.0167,,,,
246,69.89473,177.5326142,115.6752,,,,
247,69.83048,177.3694192,134.7905,,,,
248,65.3979,166.110666,120.5746,,,,
249,68.32214,173.5382356,120.0835,,,,
250,65.93895,167.484933,84.3598,,,,
251,70.09805,178.049047,138.9394,,,,
252,66.05531,167.7804874,143.5245,,,,
253,68.23481,173.3164174,123.1347,,,,
254,65.21758,165.6526532,115.5261,,,,
255,69.16173,175.6707942,120.9844,,,,
256,67.60064,171.7056256,120.6473,,,,
257,67.28621,170.9069734,124.0352,,,,
258,66.84323,169.7818042,117.2238,,,,
259,68.08281,172.9303374,127.9598,,,,
260,66.56991,169.0875714,116.7527,,,,
261,70.16973,178.2311142,121.9957,,,,
262,67.85113,172.3418702,123.9952,,,,
263,66.62309,169.2226486,108.855,,,,
264,63.68816,161.7679264,104.6574,,,,
265,68.0356,172.810424,132.248,,,,
266,66.941,170.03014,127.1834,,,,
267,66.26292,168.3078168,125.1209,,,,
268,70.7301,179.654454,133.322,,,,
269,70.70844,179.5994376,122.3364,,,,
270,73.26872,186.1025488,130.2636,,,,
271,63.79021,162.0271334,116.7431,,,,
272,67.84109,172.3163686,125.8534,,,,
273,67.78058,172.1626732,100.627,,,,
274,67.23901,170.7870854,118.4945,,,,
275,66.75701,169.5628054,137.1255,,,,
276,69.03098,175.3386892,118.6991,,,,
277,68.52652,174.0573608,124.1641,,,,
278,64.65419,164.2216426,124.9442,,,,
279,65.14295,165.463093,126.3889,,,,
280,66.74124,169.5227496,121.5255,,,,
281,66.99923,170.1780442,133.2951,,,,
282,70.26611,178.4759194,127.4072,,,,
283,67.57666,171.6447164,125.08,,,,
284,66.30582,168.4167828,102.8114,,,,
285,68.90702,175.0238308,134.2212,,,,
286,65.60543,166.6377922,100.9758,,,,
287,68.00189,172.7248006,145.8886,,,,
288,69.93715,177.640361,155.3046,,,,
289,70.1459,178.170586,138.7175,,,,
290,66.66364,169.3256456,116.2611,,,,
291,69.40676,176.2931704,120.6087,,,,
292,66.80598,169.6871892,114.4083,,,,
293,67.70048,171.9592192,133.3406,,,,
294,69.13438,175.6013252,92.74955,,,,
295,67.53769,171.5457326,131.7825,,,,
296,65.77912,167.0789648,118.3865,,,,
297,66.25769,168.2945326,131.1466,,,,
298,67.39038,171.1715652,130.2033,,,,
299,64.94327,164.9559058,129.1836,,,,
300,69.25699,175.9127546,143.1445,,,,
301,69.07739,175.4565706,138.7307,,,,
302,69.64403,176.8958362,130.9528,,,,
303,69.07705,175.455707,124.3032,,,,
304,68.01304,172.7531216,135.3702,,,,
305,68.85664,174.8958656,124.1988,,,,
306,63.19158,160.5066132,111.2389,,,,
307,65.57591,166.5628114,129.4037,,,,
308,69.12101,175.5673654,127.7444,,,,
309,69.78765,177.260631,121.3311,,,,
310,67.48203,171.4043562,118.2183,,,,
311,69.08809,175.4837486,123.3441,,,,
312,68.5529,174.124366,151.9118,,,,
313,68.21327,173.2617058,115.3108,,,,
314,67.1012,170.437048,122.3844,,,,
315,71.23661,180.9409894,129.2323,,,,
316,69.11946,175.5634284,138.2824,,,,
317,65.49848,166.3661392,144.0565,,,,
318,66.58706,169.1311324,120.8482,,,,
319,67.99831,172.7157074,113.3034,,,,
320,72.57747,184.3467738,149.3227,,,,
321,67.97585,172.658659,130.6373,,,,
322,66.62347,169.2236138,122.387,,,,
323,67.29574,170.9311796,133.8677,,,,
324,65.95951,167.5371554,134.8336,,,,
325,66.54011,169.0118794,137.8363,,,,
326,68.07723,172.9161642,112.6812,,,,
327,65.83291,167.2155914,121.1964,,,,
328,69.23721,175.8625134,114.9262,,,,
329,64.69413,164.3230902,110.3762,,,,
330,69.21372,175.8028488,126.0337,,,,
331,67.16792,170.6065168,118.7008,,,,
332,67.8467,172.330618,119.3108,,,,
333,69.27389,175.9556806,150.7397,,,,
334,67.90547,172.4798938,121.1142,,,,
335,67.076,170.37304,118.4065,,,,
336,70.01531,177.8388874,142.759,,,,
337,70.05454,177.9385316,145.6305,,,,
338,70.86714,180.0025356,127.3425,,,,
339,66.0586,167.788844,115.9678,,,,
340,65.23745,165.703123,104.4441,,,,
341,68.7413,174.602902,138.4905,,,,
342,69.51946,176.5794284,145.5049,,,,
343,70.30764,178.5814056,124.4065,,,,
344,67.29982,170.9415428,124.1866,,,,
345,67.60582,171.7187828,126.1659,,,,
346,67.85566,172.3533764,138.8125,,,,
347,66.46536,168.8220144,121.5515,,,,
348,68.92071,175.0586034,114.2555,,,,
349,68.46886,173.9109044,129.4022,,,,
350,69.5193,176.579022,137.5583,,,,
351,70.23956,178.4084824,134.4996,,,,
352,67.85651,172.3555354,127.7103,,,,
353,68.00435,172.731049,115.6709,,,,
354,67.13983,170.5351682,131.5906,,,,
355,68.09931,172.9722474,127.5839,,,,
356,68.99077,175.2365558,125.7211,,,,
357,69.32618,176.0884972,119.9885,,,,
358,70.09286,178.0358644,140.8676,,,,
359,68.74304,174.6073216,136.9164,,,,
360,64.18633,163.0332782,118.4759,,,,
361,66.09074,167.8704796,129.5516,,,,
362,69.24418,175.8802172,152.0714,,,,
363,69.66512,176.9494048,120.8646,,,,
364,68.42721,173.8051134,136.1027,,,,
365,68.28613,173.4467702,130.0611,,,,
366,69.37684,176.2171736,131.7743,,,,
367,68.35315,173.617001,139.38,,,,
368,72.32489,183.7052206,168.229,,,,
369,70.37159,178.7438386,127.6446,,,,
370,65.72927,166.9523458,131.8008,,,,
371,66.49627,168.9005258,122.8561,,,,
372,70.81339,179.8660106,140.2133,,,,
373,67.37579,171.1345066,142.6929,,,,
374,67.79709,172.2046086,137.4299,,,,
375,68.1607,173.128178,126.0392,,,,
376,68.85782,174.8988628,143.5985,,,,
377,67.71342,171.9920868,122.62,,,,
378,64.66007,164.2365778,108.6044,,,,
379,65.73721,166.9725134,100.6617,,,,
380,68.42441,173.7980014,116.1397,,,,
381,68.88946,174.9792284,140.5293,,,,
382,68.27367,173.4151218,125.6907,,,,
383,69.18045,175.718343,134.3329,,,,
384,72.60996,184.4292984,136.4649,,,,
385,66.04157,167.7455878,127.8822,,,,
386,69.2288,175.841152,123.1361,,,,
387,68.87697,174.9475038,116.3375,,,,
388,66.46042,168.8094668,124.5581,,,,
389,69.30444,176.0332776,125.7853,,,,
390,67.58249,171.6595246,107.5905,,,,
391,69.41816,176.3221264,143.0236,,,,
392,67.46867,171.3704218,118.7434,,,,
393,66.44873,168.7797742,118.9856,,,,
394,68.76185,174.655099,131.8744,,,,
395,63.76881,161.9727774,119.3691,,,,
396,69.03663,175.3530402,126.1223,,,,
397,66.48966,168.8837364,126.6122,,,,
398,66.74224,169.5252896,113.5597,,,,
399,67.69394,171.9426076,115.8413,,,,
400,66.69066,169.3942764,130.2738,,,,
401,67.02877,170.2530758,125.4542,,,,
402,65.91096,167.4138384,117.1655,,,,
403,70.0304,177.877216,137.3184,,,,
404,69.26978,175.9452412,149.4447,,,,
405,70.07695,177.995453,151.0695,,,,
406,64.90942,164.8699268,116.9994,,,,
407,69.68744,177.0060976,138.1787,,,,
408,67.56524,171.6157096,127.621,,,,
409,63.85529,162.1924366,120.7514,,,,
410,71.6189,181.912006,144.2537,,,,
411,64.98993,165.0744222,105.7939,,,,
412,64.60759,164.1032786,120.1567,,,,
413,62.01666,157.5223164,109.0848,,,,
414,65.28516,165.8243064,125.971,,,,
415,67.70163,171.9621402,110.2325,,,,
416,70.85794,179.9791676,134.4706,,,,
417,68.17075,173.153705,115.5067,,,,
418,67.45006,171.3231524,125.1086,,,,
419,71.04224,180.4472896,116.4113,,,,
420,67.83032,172.2890128,133.3944,,,,
421,67.15488,170.5733952,108.7478,,,,
422,68.30289,173.4893406,134.3986,,,,
423,65.41208,166.1466832,131.2085,,,,
424,68.66755,174.415577,130.8318,,,,
425,70.06733,177.9710182,127.0838,,,,
426,69.13413,175.6006902,119.4067,,,,
427,67.02078,170.2327812,105.5616,,,,
428,65.52274,166.4277596,134.4733,,,,
429,70.19808,178.3031232,132.6897,,,,
430,67.66866,171.8783964,126.058,,,,
431,69.73257,177.1207278,126.3532,,,,
432,67.61719,171.7476626,142.3603,,,,
433,70.79589,179.8215606,124.5873,,,,
434,69.65804,176.9314216,122.3604,,,,
435,66.73277,169.5012358,123.2298,,,,
436,67.58008,171.6534032,131.4049,,,,
437,65.25317,165.7430518,124.3037,,,,
438,70.71387,179.6132298,128.3836,,,,
439,71.27374,181.0352996,136.853,,,,
440,66.55913,169.0601902,118.0569,,,,
441,68.04247,172.8278738,121.4969,,,,
442,68.11699,173.0171546,119.2811,,,,
443,71.2367,180.941218,126.5545,,,,
444,66.92387,169.9866298,129.2477,,,,
445,71.10381,180.6036774,134.7804,,,,
446,69.41466,176.3132364,146.0725,,,,
447,69.16807,175.6868978,162.4109,,,,
448,68.57725,174.186215,130.1885,,,,
449,69.60315,176.792001,132.1941,,,,
450,69.05087,175.3892098,127.4591,,,,
451,68.28699,173.4489546,125.3466,,,,
452,69.25276,175.9020104,134.7559,,,,
453,68.23862,173.3260948,121.9395,,,,
454,67.6868,171.924472,125.6688,,,,
455,68.84083,174.8557082,145.956,,,,
456,69.52061,176.5823494,119.9207,,,,
457,66.97668,170.1207672,111.5093,,,,
458,72.0053,182.893462,138.676,,,,
459,67.44482,171.3098428,135.0151,,,,
460,66.06214,167.7978356,116.509,,,,
461,65.5747,166.559738,123.9575,,,,
462,68.30171,173.4863434,136.952,,,,
463,71.02603,180.4061162,153.0797,,,,
464,70.76882,179.7528028,126.357,,,,
465,67.50812,171.4706248,145.0614,,,,
466,69.50936,176.5537744,135.1739,,,,
467,66.4455,168.77157,108.806,,,,
468,68.5689,174.165006,110.5155,,,,
469,67.01296,170.2129184,138.2685,,,,
470,68.70004,174.4981016,119.5111,,,,
471,68.23013,173.3045302,115.3214,,,,
472,70.40713,178.8341102,132.3684,,,,
473,65.69989,166.8777206,93.99438,,,,
474,65.7031,166.885874,127.4051,,,,
475,68.48055,173.940597,134.3024,,,,
476,66.62891,169.2374314,124.9721,,,,
477,66.84285,169.780839,124.072,,,,
478,69.89734,177.5392436,133.5476,,,,
479,67.6543,171.841922,134.1509,,,,
480,68.30917,173.5052918,130.2489,,,,
481,69.74848,177.1611392,138.0935,,,,
482,68.57906,174.1908124,126.6064,,,,
483,68.14477,173.0877158,131.8076,,,,
484,67.98093,172.6715622,131.7363,,,,
485,64.82535,164.656389,117.6261,,,,
486,69.20785,175.787939,126.1943,,,,
487,69.2656,175.934624,127.5132,,,,
488,70.9403,180.188362,142.4785,,,,
489,69.07826,175.4587804,139.444,,,,
490,66.20183,168.1526482,110.3204,,,,
491,71.05779,180.4867866,131.9541,,,,
492,68.99493,175.2471222,129.2037,,,,
493,70.96089,180.2406606,124.3513,,,,
494,66.02496,167.7033984,126.5251,,,,
495,69.8641,177.454814,149.2303,,,,
496,66.82802,169.7431708,142.1577,,,,
497,69.09424,175.4993696,127.1436,,,,
498,66.81425,169.708195,122.3353,,,,
499,67.13183,170.5148482,112.6659,,,,
500,64.57428,164.0186712,134.2647,,,,
501,68.68038,174.4481652,120.6936,,,,
502,67.53724,171.5445896,115.783,,,,
503,71.17732,180.7903928,128.6855,,,,
504,70.53514,179.1592556,134.7611,,,,
505,71.53411,181.6966394,118.3419,,,,
506,66.77301,169.6034454,106.1557,,,,
507,66.33636,168.4943544,126.3823,,,,
508,64.83095,164.670613,114.3716,,,,
509,68.38247,173.6914738,130.2787,,,,
510,68.05038,172.8479652,123.3066,,,,
511,69.09149,175.4923846,122.8571,,,,
512,69.91046,177.5725684,125.6932,,,,
513,68.40737,173.7547198,111.7247,,,,
514,68.32559,173.5469986,125.5516,,,,
515,66.95555,170.067097,119.9702,,,,
516,70.54816,179.1923264,132.6043,,,,
517,69.37805,176.220247,132.6738,,,,
518,67.52012,171.5011048,117.4521,,,,
519,64.87142,164.7734068,101.8549,,,,
520,69.13396,175.6002584,128.4418,,,,
521,68.81192,174.7822768,134.0414,,,,
522,67.56446,171.6137284,127.7511,,,,
523,68.16772,173.1460088,127.6172,,,,
524,65.80687,167.1494498,139.3971,,,,
525,64.92276,164.9038104,113.9381,,,,
526,68.35584,173.6238336,147.5188,,,,
527,66.71546,169.4572684,132.6523,,,,
528,69.18196,175.7221784,132.8139,,,,
529,65.88795,167.355393,105.0942,,,,
530,66.03733,167.7348182,127.5187,,,,
531,69.44194,176.3825276,130.7305,,,,
532,67.14847,170.5571138,128.5815,,,,
533,65.69442,166.8638268,122.5699,,,,
534,69.42723,176.3451642,157.2961,,,,
535,66.54503,169.0243762,121.1097,,,,
536,69.04469,175.3735126,147.5061,,,,
537,67.62036,171.7557144,117.493,,,,
538,69.59105,176.761267,132.4472,,,,
539,68.12343,173.0335122,118.1774,,,,
540,71.22641,180.9150814,123.7319,,,,
541,66.43285,168.739439,130.365,,,,
542,66.31808,168.4479232,122.8882,,,,
543,68.02724,172.7891896,107.8693,,,,
544,68.2876,173.450504,118.591,,,,
545,66.91609,169.9668686,125.6467,,,,
546,71.77546,182.3096684,148.6016,,,,
547,66.04535,167.755189,150.279,,,,
548,69.01455,175.296957,127.0678,,,,
549,68.70744,174.5168976,128.7122,,,,
550,65.012,165.13048,118.4233,,,,
551,66.05857,167.7887678,125.3879,,,,
552,71.16403,180.7566362,149.2676,,,,
553,67.55274,171.5839596,107.3484,,,,
554,68.83455,174.839757,133.6992,,,,
555,68.11811,173.0199994,124.8508,,,,
556,67.90528,172.4794112,112.7028,,,,
557,67.64085,171.807759,127.8407,,,,
558,69.78282,177.2483628,134.1615,,,,
559,67.99889,172.7171806,138.6031,,,,
560,69.41465,176.313211,126.044,,,,
561,70.42989,178.8919206,129.5856,,,,
562,67.67519,171.8949826,134.1054,,,,
563,67.88036,172.4161144,106.1251,,,,
564,68.06905,172.895387,127.0561,,,,
565,66.99435,170.165649,121.9241,,,,
566,71.57689,181.8053006,150.7365,,,,
567,64.36564,163.4887256,116.0061,,,,
568,67.93011,172.5424794,125.4748,,,,
569,69.91863,177.5933202,131.6099,,,,
570,69.93864,177.6441456,129.0696,,,,
571,66.79766,169.6660564,129.1117,,,,
572,70.11119,178.0824226,148.1624,,,,
573,68.94814,175.1282756,105.388,,,,
574,68.02886,172.7933044,110.5447,,,,
575,69.36148,176.1781592,118.6402,,,,
576,68.44886,173.8601044,122.8151,,,,
577,65.70282,166.8851628,124.887,,,,
578,69.55674,176.6741196,135.7695,,,,
579,65.84635,167.249729,116.4563,,,,
580,68.79983,174.7515682,125.3617,,,,
581,69.03835,175.357409,133.122,,,,
582,67.36352,171.1033408,138.3328,,,,
583,70.35788,178.7090152,124.4972,,,,
584,69.88828,177.5162312,136.7205,,,,
585,65.15319,165.4891026,115.0153,,,,
586,69.40907,176.2990378,132.6366,,,,
587,68.50874,174.0121996,143.1323,,,,
588,65.71552,166.9174208,134.7422,,,,
589,63.98308,162.5170232,122.6246,,,,
590,70.07685,177.995199,153.5634,,,,
591,68.42542,173.8005668,126.289,,,,
592,68.23665,173.321091,134.7206,,,,
593,67.82856,172.2845424,134.5987,,,,
594,66.31277,168.4344358,118.3945,,,,
595,69.75128,177.1682512,121.2997,,,,
596,65.70901,166.9008854,132.2844,,,,
597,66.88227,169.8809658,139.0617,,,,
598,67.2791,170.888914,110.698,,,,
599,70.63357,179.4092678,154.1073,,,,
600,69.9377,177.641758,124.1592,,,,
601,65.87671,167.3268434,134.5173,,,,
602,72.44694,184.0152276,138.2622,,,,
603,70.07052,177.9791208,149.0801,,,,
604,67.68486,171.9195444,127.0075,,,,
605,66.1151,167.932354,117.8222,,,,
606,69.94355,177.656617,148.9096,,,,
607,68.24317,173.3376518,128.2151,,,,
608,68.80144,174.7556576,129.6944,,,,
609,66.61818,169.2101772,125.5674,,,,
610,70.18701,178.2750054,128.7947,,,,
611,65.58971,166.5978634,124.187,,,,
612,68.69566,174.4869764,151.4167,,,,
613,64.88639,164.8114306,106.9803,,,,
614,69.81993,177.3426222,145.6221,,,,
615,66.33962,168.5026348,121.5926,,,,
616,70.4434,178.926236,130.9386,,,,
617,69.99163,177.7787402,135.6203,,,,
618,70.13617,178.1458718,123.9315,,,,
619,67.1793,170.635422,131.9955,,,,
620,68.2034,173.236636,117.484,,,,
621,67.76121,172.1134734,129.6577,,,,
622,64.79753,164.5857262,122.3706,,,,
623,66.47871,168.8559234,114.5867,,,,
624,66.98337,170.1377598,116.5401,,,,
625,65.69991,166.8777714,139.4307,,,,
626,66.82705,169.740707,123.4822,,,,
627,66.35141,168.5325814,132.5492,,,,
628,70.13491,178.1426714,143.4013,,,,
629,70.11565,178.093751,132.9429,,,,
630,64.56145,163.986083,98.8972,,,,
631,68.15724,173.1193896,122.4342,,,,
632,67.1475,170.55465,104.6767,,,,
633,70.88927,180.0587458,142.7847,,,,
634,68.16218,173.1319372,130.9283,,,,
635,71.19657,180.8392878,143.827,,,,
636,67.92444,172.5280776,142.2832,,,,
637,65.30204,165.8671816,107.9441,,,,
638,66.40756,168.6752024,105.6891,,,,
639,71.30647,181.1184338,125.4007,,,,
640,69.05997,175.4123238,106.4195,,,,
641,65.95442,167.5242268,118.5371,,,,
642,69.63776,176.8799104,136.7836,,,,
